teacherEmail,teacherName,studentEmail,studentName,classCode,className,subjectCode,subjectName,toDelete
teacher1@gmail.com,Teacher 1,student1@gmail.com,Student 1,P1-1,P1 Integrity,MATHS,Mathematics,0
teacher1@gmail.com,Teacher 1,student2@gmail.com,Student 2,P1-1,P1 Integrity,MATHS,Mathematics,0
teacher1@gmail.com,Teacher 1,student3@gmail.com,Student 3,P1-1,P1 Integrity,MATHS,Mathematics,0
teacher1@gmail.com,Teacher 1,student4@gmail.com,Student 4,P1-1,P1 Integrity,MATHS,Mathematics,1
teacher2@gmail.com,Teacher 2,student1@gmail.com,Student 1,P1-1,P1 Integrity,MATHS,Mathematics,0
teacher2@gmail.com,Teacher 2,student5@gmail.com,Student 5,P1-1,P1 Integrity,ENG,English,0
teacher2@gmail.com,Teacher 2,student6@gmail.com,Student 6,P1-2,P1 Respect,ENG,English,0
teacher3@gmail.com,Teacher 3,student1@gmail.com,Student 1,P1-2,P1 Respect,SCI,Science,0
teacher3@gmail.com,Teacher 3,student7@gmail.com,Student 7,P1-2,P1 Respect,SCI,Science,0
teacher1@gmail.com,Teacher 1,student8@gmail.com,Student 8,P2-1,P2 Courage,MATHS,Mathematics,0
teacher1@gmail.com,Teacher 1,student9@gmail.com,Student 9,P2-1,P2 Courage,SCI,Science,0
teacher1@gmail.com,Teacher 1,student10@gmail.com,Student 10,P2-1,P2 Courage,SCI,Science,0
teacher2@gmail.com,Teacher 2,student11@gmail.com,Student 11,P2-1,P2 Courage,MATHS,Mathematics,0
teacher2@gmail.com,Teacher 2,student12@gmail.com,Student 12,P2-1,P2 Courage,MATHS,Mathematics,0
teacher3@gmail.com,Teacher 3,student1@gmail.com,Student 1,P1-1,P1 Integrity,ENG,English,0
teacher3@gmail.com,Teacher 3,student13@gmail.com,Student 13,P1-1,P1 Integrity,ENG,English,0
teacher1@gmail.com,Teacher 1,student14@gmail.com,Student 14,P1-2,P1 Respect,SCI,Science,0
teacher1@gmail.com,Teacher 1,student15@gmail.com,Student 15,P1-2,P1 Respect,SCI,Science,0
teacher2@gmail.com,Teacher 2,student16@gmail.com,Student 16,P2-1,P2 Courage,MATHS,Mathematics,0
teacher2@gmail.com,Teacher 2,student17@gmail.com,Student 17,P2-1,P2 Courage,MATHS,Mathematics,1
teacher3@gmail.com,Teacher 3,student20@gmail.com,Student 20,P1-1,P1 Integrity,ENG,English,0
teacher1@gmail.com,Teacher 1,student20@gmail.com,Student 20,P1-2,P1 Respect,ENG,English,0
teacher2@gmail.com,Teacher 2,student21@gmail.com,Student 21,P1-1,P1 Integrity,SCI,Science,0
teacher3@gmail.com,Teacher 3,student22@gmail.com,Student 22,P2-1,P2 Courage,MATHS,Mathematics,0
teacher1@gmail.com,Teacher 1,student23@gmail.com,Student 23,P2-1,P2 Courage,MATHS,Mathematics,0
teacher2@gmail.com,Teacher 2,student24@gmail.com,Student 24,P1-1,P1 Integrity,MATHS,Mathematics,0
teacher3@gmail.com,Teacher 3,student25@gmail.com,Student 25,P1-2,P1 Respect,MATHS,Mathematics,0
teacher1@gmail.com,Teacher 1,student26@gmail.com,Student 26,P1-2,P1 Respect,ENG,English,0
teacher2@gmail.com,Teacher 2,student27@gmail.com,Student 27,P2-1,P2 Courage,SCI,Science,0
teacher3@gmail.com,Teacher 3,student28@gmail.com,Student 28,P2-1,P2 Courage,SCI,Science,0
teacher1@gmail.com,Teacher 1,student20@gmail.com,Student 20,P2-1,P2 Courage,ENG,English,0
teacher2@gmail.com,Teacher 2,student22@gmail.com,Student 22,P1-1,P1 Integrity,MATHS,Mathematics,0
teacher3@gmail.com,Teacher 3,student29@gmail.com,Student 29,P2-1,P2 Courage,MATHS,Mathematics,0
